,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
39,nlp_customer_c898690183,0.00033235740951378424,,,,,,,
34,nlp_customer_c616472041,0.00033425581011988376,,,,,,,
14,nlp_customer_c1551572984,0.0003347629370478237,,,,,,,
20,nlp_customer_c1902104464,0.00033663816021295455,,,,,,,
30,nlp_customer_c546386486,0.0003460041910253667,,,,,,,
12,nlp_customer_c1427325535,0.0003559116707437878,,,,,,,
2,nlp_customer_c1022530210,0.00036669502466744696,,,,,,,
24,nlp_customer_c21670075,0.00036834779006234843,,,,,,,
5,nlp_customer_c1305161735,0.0003735380575719881,,,,,,,
19,nlp_customer_c187473376,0.0003763658566476285,,,,,,,
10,nlp_customer_c1367581052,0.0003870470198527017,,,,,,,
52,nlp_merchant_m1748431652,0.0003977875752333966,,,,,,,
76,nlp_merchant_m78078399,0.00040126361315545865,,,,,,,
82,nlp_merchant_m933210764,0.0004047281767479699,,,,,,,
17,nlp_customer_c179196508,0.00040835106992775244,,,,,,,
35,nlp_customer_c644590864,0.00042660775957549264,,,,,,,
27,nlp_customer_c339075311,0.0004284271993046388,,,,,,,
65,nlp_merchant_m348875670,0.00044438992590819045,,,,,,,
16,nlp_customer_c1709958311,0.00044812412035164173,,,,,,,
38,nlp_customer_c842799656,0.00045762317331189234,,,,,,,
32,nlp_customer_c583110837,0.0004619181071841897,,,,,,,
7,nlp_customer_c1334227305,0.0004633571139696671,,,,,,,
48,nlp_merchant_m1600850729,0.00047481432788058265,,,,,,,
23,nlp_customer_c1991822900,0.0004928349583491847,,,,,,,
21,nlp_customer_c1935661715,0.0005785447341816591,,,,,,,
13,nlp_customer_c1450140987,0.0006144954303323898,,,,,,,
6,nlp_customer_c1312615175,0.0006269688288847292,,,,,,,
8,nlp_customer_c1338396147,0.0006288681693529529,,,,,,,
3,nlp_customer_c1079254393,0.0007116149517029358,,,,,,,
26,nlp_customer_c296571542,0.0007192716096875612,,,,,,,
63,nlp_merchant_m209847108,0.0007486005703190128,,,,,,,
84,nlp_category_es_barsandrestaurants,0.0007570949556218651,,,,,,,
67,nlp_merchant_m349281107,0.0007682579176714076,,,,,,,
11,nlp_customer_c1383269171,0.0007740902768315491,,,,,,,
77,nlp_merchant_m840466850,0.0008893265843179324,,,,,,,
25,nlp_customer_c218446443,0.0009149600860123206,,,,,,,
62,nlp_merchant_m2080407379,0.0009560904805006765,,,,,,,
28,nlp_customer_c417267123,0.0009631441974719665,,,,,,,
72,nlp_merchant_m50039827,0.0009778529952095764,,,,,,,
31,nlp_customer_c553434543,0.0009887636761742242,,,,,,,
94,nlp_category_es_tech,0.001017110507757425,,,,,,,
71,nlp_merchant_m495352832,0.0010337204445939206,,,,,,,
47,nlp_merchant_m1535107174,0.0010477758186072479,,,,,,,
98,gender='F',0.0011220472649903536,,,,,,,
55,nlp_merchant_m1842530320,0.001131000755437315,,,,,,,
29,nlp_customer_c515668508,0.001178377208769895,,,,,,,
43,nlp_merchant_m1352454843,0.0011842797233039446,,,,,,,
73,nlp_merchant_m547558035,0.0011849983630319884,,,,,,,
